timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-20T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-20T07:10:00.000Z";"2025-01-26T23:43:00.000Z";"2781";682.2049080434;707.5763646186;665.0410216466;666.7638010134;13630046916.36;95001139307.27;"2025-01-26T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-17T20:43:00.000Z";"2025-01-13T12:07:00.000Z";"2781";693.0481147796;729.8535237878;659.7594242441;682.2039702697;16383224048.56;98241369491.13;"2025-01-19T23:59:59.999Z"
"2025-01-06T00:00:00.000Z";"2025-01-12T23:59:59.999Z";"2025-01-06T21:52:00.000Z";"2025-01-09T20:40:00.000Z";"2781";709.2582800216;745.1535766784;675.7342663425;693.0482948576;15864017762.7;99803217006.04;"2025-01-12T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2025-01-05T23:59:59.999Z";"2025-01-04T03:18:00.000Z";"2024-12-30T15:33:00.000Z";"2781";693.7542979782;721.1562384607;686.9070485559;709.2582800216;14103329673.7;102137952176.72;"2025-01-05T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-28T20:01:00.000Z";"2024-12-23T01:22:00.000Z";"2781";648.7046942886;729.3158346367;637.9652854714;693.7545380198;11707376253.52;99905586210.45;"2024-12-29T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-17T21:29:00.000Z";"2024-12-20T12:02:00.000Z";"2781";719.1342485572;735.757198971;619.5003470733;648.7046942886;21999840338.39;93418436602.9;"2024-12-22T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-09T00:00:00.000Z";"2024-12-10T18:13:00.000Z";"2781";743.2956744595;743.2956744595;650.597283319;719.1342485572;19672264085.35;103561302238.93;"2024-12-15T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-04T10:26:00.000Z";"2024-12-03T14:38:00.000Z";"2781";655.9324907942;793.3505040972;625.9749775106;743.2956744595;23438064288.89;107041245539.85;"2024-12-08T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-11-30T07:47:00.000Z";"2024-11-26T18:38:00.000Z";"2781";660.3167272244;676.9244177707;600.9912628637;655.9324907942;19440077172.79;94460623410.97;"2024-12-01T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-24T08:28:00.000Z";"2024-11-21T02:46:00.000Z";"2781";618.4000602623;687.3417077734;594.5480939008;660.3175450441;20737685525.37;95087187233.62;"2024-11-24T23:59:59.999Z"
"2024-11-11T00:00:00.000Z";"2024-11-17T23:59:59.999Z";"2024-11-12T01:46:00.000Z";"2024-11-13T06:40:00.000Z";"2781";628.3024602501;666.9176078566;600.524364649;618.4000602623;20781173972.8;89110665234.2;"2024-11-17T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T11:52:00.000Z";"2024-11-04T22:01:00.000Z";"2781";557.6415979416;643.6643287825;543.9083479593;628.3024602501;14991204297.91;90537986817.26;"2024-11-10T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-10-29T17:09:00.000Z";"2024-11-03T15:48:00.000Z";"2781";588.7158451742;611.781511555;547.8166324121;557.6415979416;13421801940.5;80356053035.21;"2024-11-03T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-21T08:16:00.000Z";"2024-10-25T23:26:00.000Z";"2781";605.5178287055;610.9203243273;567.0569027393;588.7158451742;11519362633.08;85911947501.1;"2024-10-27T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T23:36:00.000Z";"2024-10-14T02:07:00.000Z";"2781";571.821719688;606.3153743138;569.9707713268;605.5178287055;12203735443.21;88197685464.56;"2024-10-20T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-08T19:58:00.000Z";"2024-10-10T18:30:00.000Z";"2781";570.5427084615;585.9742540648;551.7832128624;571.821719688;13380465276.54;83447056984.35;"2024-10-13T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-09-30T00:00:00.000Z";"2024-10-03T12:08:00.000Z";"2781";596.4111766614;596.4414398912;535.3806148878;570.5427084615;11896258716.73;83260723249.13;"2024-10-06T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-28T03:08:00.000Z";"2024-09-26T01:40:00.000Z";"2781";588.08694058;617.3323914563;581.2283056879;596.4111766614;13572580465.41;87035998848.07;"2024-09-29T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T20:28:00.000Z";"2024-09-16T21:10:00.000Z";"2781";553.9722707377;593.9545460609;527.4401237699;588.08694058;12136567797.57;85821599230.13;"2024-09-22T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-15T15:56:00.000Z";"2024-09-09T05:55:00.000Z";"2781";503.0001618016;561.5770839975;501.9822184931;553.9722707377;12771963164.1;80843399506.86;"2024-09-15T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-03T05:28:00.000Z";"2024-09-06T21:03:00.000Z";"2781";512.5952012561;537.9566677353;473.168903464;503.0001618016;12535581148.01;73405057386.73;"2024-09-08T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-08-26T00:13:00.000Z";"2024-09-01T23:01:00.000Z";"2781";574.2499650575;575.9811975376;508.7206107466;512.5952012561;11492797418.24;74805529170.96;"2024-09-01T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-23T22:09:00.000Z";"2024-08-19T00:07:00.000Z";"2781";531.6085507317;597.5437328454;529.6116292487;574.2499650575;13342298706.39;83803381527.6;"2024-08-25T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-17T20:10:00.000Z";"2024-08-12T07:22:00.000Z";"2781";503.8041638677;547.1613850747;500.2337107992;531.6085507317;11345918890.64;77580877632.38;"2024-08-18T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-11T09:25:00.000Z";"2024-08-05T06:26:00.000Z";"2781";497.0390937742;535.5400127735;407.52458205;503.8045256329;16552858790.54;73523440056.08;"2024-08-11T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-07-29T03:15:00.000Z";"2024-08-04T17:46:00.000Z";"2781";584.0995915474;596.6490836324;488.2488190354;497.0390937742;13350538078.37;72536450573.63;"2024-08-04T23:59:59.999Z"
"2024-07-22T00:00:00.000Z";"2024-07-28T23:59:59.999Z";"2024-07-22T00:53:00.000Z";"2024-07-25T03:41:00.000Z";"2781";601.8511809617;605.1911896716;554.756010751;584.0995915474;12311698023.91;85212875779.99;"2024-07-28T23:59:59.999Z"
"2024-07-15T00:00:00.000Z";"2024-07-21T23:59:59.999Z";"2024-07-21T22:06:00.000Z";"2024-07-15T00:18:00.000Z";"2781";544.9209002366;603.6642283797;544.7007815147;601.8511809617;12931839883.56;88822252491.89;"2024-07-21T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-14T23:59:59.999Z";"2024-07-14T23:26:00.000Z";"2024-07-08T01:26:00.000Z";"2781";490.7128020658;547.3585949426;472.1613968253;544.8187101794;11692749433.14;80405575846.04;"2024-07-14T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-01T02:10:00.000Z";"2024-07-05T09:12:00.000Z";"2781";581.6745476307;587.2811925569;456.9233891776;490.6131377749;13065753571.74;72406012380.21;"2024-07-07T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-28T01:43:00.000Z";"2024-06-24T20:34:00.000Z";"2781";577.2229191833;584.3499670126;552.9365238529;581.7711182162;12989298545.58;85859638106.27;"2024-06-30T23:59:59.999Z"
"2024-06-17T00:00:00.000Z";"2024-06-23T23:59:59.999Z";"2024-06-17T00:50:00.000Z";"2024-06-18T13:41:00.000Z";"2781";610.0736628135;611.9440149277;575.7616889486;577.2108928734;12173595050.02;85176656020.59;"2024-06-23T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-16T23:59:59.999Z";"2024-06-10T01:46:00.000Z";"2024-06-14T18:25:00.000Z";"2781";673.335451954;674.3135027253;590.4963500731;610.0539981783;14638726486.27;90034253482.68;"2024-06-16T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-06T13:58:00.000Z";"2024-06-03T00:47:00.000Z";"2781";603.050937153;720.6726010999;601.1831673741;673.3153333982;19677658458.41;99357408213.57;"2024-06-09T23:59:59.999Z"
