timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-01-20T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-20T06:56:00.000Z";"2025-01-20T00:48:00.000Z";"2781";3208.9338275588;3444.2827459666;3147.5229798998;3236.1341830842;193572100052.56;389947457706.7;"2025-01-26T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-17T20:51:00.000Z";"2025-01-13T14:37:00.000Z";"2781";3266.0953628314;3525.5433592391;2920.5927049425;3208.9643743573;261209995023.82;386687337500.24;"2025-01-19T23:59:59.999Z"
"2025-01-06T00:00:00.000Z";"2025-01-12T23:59:59.999Z";"2025-01-06T16:34:00.000Z";"2025-01-09T20:25:00.000Z";"2781";3634.1137836192;3743.941767051;3159.3840691968;3265.9511514899;209749546885.37;393534082007.43;"2025-01-12T23:59:59.999Z"
"2024-12-30T00:00:00.000Z";"2025-01-05T23:59:59.999Z";"2025-01-05T00:19:00.000Z";"2024-12-30T15:01:00.000Z";"2781";3349.5859346876;3673.813081444;3298.8045578913;3634.1036630331;157277812857.8;437816515326.14;"2025-01-05T23:59:59.999Z"
"2024-12-23T00:00:00.000Z";"2024-12-29T23:59:59.999Z";"2024-12-25T10:23:00.000Z";"2024-12-23T01:22:00.000Z";"2781";3277.5141746011;3542.833751548;3217.3686777831;3349.513340318;171565270078.51;403520330663.85;"2024-12-29T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-22T23:59:59.999Z";"2024-12-16T18:53:00.000Z";"2024-12-20T12:02:00.000Z";"2781";3951.6527447567;4106.9556004971;3098.2036178716;3277.535187571;420350789353.16;394793968020.03;"2024-12-22T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-09T00:01:00.000Z";"2024-12-10T18:13:00.000Z";"2781";4006.1016852571;4008.7778541551;3520.365192653;3951.9411400849;326078589583.39;475970706984.17;"2024-12-15T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-06T20:22:00.000Z";"2024-12-03T14:36:00.000Z";"2781";3710.4953435232;4093.1720244462;3504.2263793216;4005.7045763055;297864523967.03;482509552464.54;"2024-12-08T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T15:35:00.000Z";"2024-11-26T18:41:00.000Z";"2781";3364.6014561404;3747.4552142022;3255.5430118377;3711.165095551;285868799340.31;446895881158.96;"2024-12-01T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-23T14:38:00.000Z";"2024-11-20T19:24:00.000Z";"2781";3075.7228270916;3499.3708467621;3032.6033243842;3363.6598928297;301805177272.23;405047057925.8;"2024-11-24T23:59:59.999Z"
"2024-11-11T00:00:00.000Z";"2024-11-17T23:59:59.999Z";"2024-11-12T09:05:00.000Z";"2024-11-15T15:39:00.000Z";"2781";3191.6569470349;3444.1539951509;3016.1441490148;3075.6615116228;287557599498.87;370386258448.72;"2024-11-17T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T18:38:00.000Z";"2024-11-04T21:53:00.000Z";"2781";2456.0951882475;3249.913956614;2359.5780299046;3191.3313560604;221176275358.52;384275074912.41;"2024-11-10T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-10-30T14:12:00.000Z";"2024-11-03T18:48:00.000Z";"2781";2505.590509344;2720.2714362284;2411.3983237824;2456.4251725634;147795303623.72;295745463222.83;"2024-11-03T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-21T00:24:00.000Z";"2024-10-25T23:31:00.000Z";"2781";2746.3057102064;2765.5496235458;2381.4507148571;2505.9406635993;112834908418.06;301718318124.05;"2024-10-27T23:59:59.999Z"
"2024-10-14T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T22:52:00.000Z";"2024-10-14T02:06:00.000Z";"2781";2467.6474313979;2756.4367713382;2443.5529174965;2746.3639932057;115762446982.45;330626349790.61;"2024-10-20T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-13T23:59:59.999Z";"2024-10-07T14:25:00.000Z";"2024-10-10T18:27:00.000Z";"2781";2439.9447200133;2520.4062916278;2329.7847354486;2467.6769628969;103186113066.69;297063838454.29;"2024-10-13T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-09-30T00:13:00.000Z";"2024-10-03T15:28:00.000Z";"2781";2659.292706743;2662.4890256281;2311.02794283;2439.9578014551;112999446307.02;293714066018.34;"2024-10-06T23:59:59.999Z"
"2024-09-23T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-27T16:38:00.000Z";"2024-09-23T00:18:00.000Z";"2781";2582.7748253658;2728.0677337785;2541.9102931292;2659.3468478149;106429244038.49;320089038647.8;"2024-09-29T23:59:59.999Z"
"2024-09-16T00:00:00.000Z";"2024-09-22T23:59:59.999Z";"2024-09-22T00:10:00.000Z";"2024-09-16T02:56:00.000Z";"2781";2320.8944391009;2632.0393358744;2253.7149932498;2582.8624763883;111863297548.57;310832153859.66;"2024-09-22T23:59:59.999Z"
"2024-09-09T00:00:00.000Z";"2024-09-15T23:59:59.999Z";"2024-09-13T21:39:00.000Z";"2024-09-09T15:18:00.000Z";"2781";2297.8962878887;2462.8029995518;2274.1155213156;2320.8972417266;103641930958.5;279290338598.1;"2024-09-15T23:59:59.999Z"
"2024-09-02T00:00:00.000Z";"2024-09-08T23:59:59.999Z";"2024-09-02T20:56:00.000Z";"2024-09-06T21:02:00.000Z";"2781";2427.9733430705;2563.085947551;2150.8632293618;2297.2928618416;113062448701.91;276486164481.31;"2024-09-08T23:59:59.999Z"
"2024-08-26T00:00:00.000Z";"2024-09-01T23:59:59.999Z";"2024-08-26T00:36:00.000Z";"2024-08-27T22:16:00.000Z";"2781";2749.2475733083;2763.0041773069;2401.1750014042;2427.9022806575;98590549110.23;292099196088.96;"2024-09-01T23:59:59.999Z"
"2024-08-19T00:00:00.000Z";"2024-08-25T23:59:59.999Z";"2024-08-24T16:41:00.000Z";"2024-08-21T13:44:00.000Z";"2781";2612.7185097561;2820.0205615881;2538.6577920946;2749.1576670875;86706271252.05;330719150375.36;"2024-08-25T23:59:59.999Z"
"2024-08-12T00:00:00.000Z";"2024-08-18T23:59:59.999Z";"2024-08-14T12:31:00.000Z";"2024-08-12T00:35:00.000Z";"2781";2553.4966053215;2775.2809657522;2513.3941625541;2613.3571785326;99366708701.55;314268369391.92;"2024-08-18T23:59:59.999Z"
"2024-08-05T00:00:00.000Z";"2024-08-11T23:59:59.999Z";"2024-08-08T22:59:00.000Z";"2024-08-05T01:12:00.000Z";"2781";2686.0274982721;2721.9544984356;2122.546236037;2553.252240415;200213377467.9;307103536125.21;"2024-08-11T23:59:59.999Z"
"2024-07-29T00:00:00.000Z";"2024-08-04T23:59:59.999Z";"2024-07-29T10:33:00.000Z";"2024-08-04T17:45:00.000Z";"2781";3271.4534640628;3396.6257551377;2639.5667259006;2686.3988610452;129117580556.27;323015051181.3;"2024-08-04T23:59:59.999Z"
"2024-07-22T00:00:00.000Z";"2024-07-28T23:59:59.999Z";"2024-07-22T00:49:00.000Z";"2024-07-25T20:14:00.000Z";"2781";3536.6271724925;3560.0755054452;3088.7644900984;3271.4646364709;124677659196.01;393322680889.11;"2024-07-28T23:59:59.999Z"
"2024-07-15T00:00:00.000Z";"2024-07-21T23:59:59.999Z";"2024-07-21T22:06:00.000Z";"2024-07-15T00:11:00.000Z";"2781";3246.1316976876;3546.6192375618;3235.776147546;3536.6054396998;112438642512.73;425202725801.31;"2024-07-21T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-14T23:59:59.999Z";"2024-07-14T23:25:00.000Z";"2024-07-08T01:22:00.000Z";"2781";2929.8616406366;3266.4876563321;2826.4817185351;3244.0790922444;99540552163.18;389989323470.73;"2024-07-14T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-01T02:01:00.000Z";"2024-07-05T09:12:00.000Z";"2781";3432.6074808213;3513.3108199999;2826.0144079072;2929.3872316715;111653332271.6;352114562456.68;"2024-07-07T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-28T01:58:00.000Z";"2024-06-24T16:54:00.000Z";"2781";3418.7831418412;3482.9575886476;3244.241470421;3432.8890895755;100542704881.63;412589046062.36;"2024-06-30T23:59:59.999Z"
